,Popularity,Country/ Region,Term,Full Form | Definition | Meaning,Main Category,Subcategory
12456,10,Worldwide, MERS , Metro Ethernet Routing Switch ,Computing,Networking
12457,50,Worldwide, MES , Manufacturing Execution System ,Technology,Tech Terms
12458,40,India, MES , Military Engineer Services ,Governmental,Military
12459,30,India, MES , Muslim Educational Society ,Academic & Science,Universities & Institutions
12460,20,Worldwide, MES , 2-(N-Morpholino)ethanesulfonic Acid ,Academic & Science,Chemistry
12461,20,Worldwide, MES , Marine Evacuation System ,Transport & Travel,Water Transport
12462,20,Indonesia, MES , Polonia International Airport ,Transport & Travel,Airport Codes
12463,10,United Kingdom, MES , Marconi Electronic Systems  ,Business,Companies & Corporations
12464,60,Worldwide, Meth , Methamphetamine ,Academic & Science,Chemistry
12465,30,Worldwide, METH , Methylene Chloride ,Academic & Science,Chemistry
12466,90,Worldwide, Metro , Metropolitan ,Regional,Towns & Cities
12467,80,Worldwide, Metro , Meteorology/Meteorologist ,Academic & Science,Atmospheric Sciences
12468,60,Worldwide, MFC , Microsoft Foundation Class(es) ,Computing,Programming Languages
12469,50,Worldwide, MFC , Multi-Function Center ,Computing,Hardware
12470,40,Worldwide, MFC , Microbial Fuel Cell ,Technology,Energy & Recycling
12471,40,Worldwide, MFC , Mass Flow Controller ,Technology,Instruments & Devices
12472,30,United Kingdom, MFC , Middlesbrough Football Club ,Associations & Organizations,Sports & Recreation Organizations
12473,30,India, MFC , Master of Finance and Control ,Academic & Science,Academic Degrees
12474,10,Japan, MFC , Mio Fertility Clinic ,Medical,Hospitals
12475,10,Lesotho, MFC , Mafeteng Airport ,Transport & Travel,Airport Codes
12476,80,Worldwide, MFD , Multi- Function Device ,Computing,Hardware
12477,60,Worldwide, MFI , Money Flow Index ,Business,Stock Market
12478,50,Worldwide, MFi , Made for iPhone/iPod/iPad ,Computing,Programming & Development
12479,40,Worldwide, MFI , Mechanical Fuel Injection ,Technology,Automotive
12480,40,Worldwide, MFI , Melt Flow Index ,Academic & Science,Chemistry
12481,40,Worldwide, MFI , Microfinance Institution ,Business,Finance
12482,30,Worldwide, MFI , Mass Fatality Incident ,Medical,Hospitals
12483,30,Canada, MFI , Medical Futures Inc. ,Business,Companies & Corporations
12484,20,United Kingdom, MFI , Mullard Furniture Industries ,Business,Companies & Corporations
12485,20,United States, MFI , MindFreedom International ,Associations & Organizations,Social Welfare Organizations
12486,20,United States, MFI , Marshfield Municipal Airport ,Transport & Travel,Airport Codes
12487,40,Worldwide, MFIL , Multi-Functional Intermediate Layer ,Technology,Imaging & Printing
12488,30,India, MFIL , Merger of Modern Food Industries Limited ,Business,Companies & Corporations
12489,10,India, MFIL , Mahindra Ford India Limited ,Business,Companies & Corporations
12490,10,India, MFIL , Modern Fibotex India Limited ,Business,Companies & Corporations
12491,60,Worldwide, MFW , My Face When ,Miscellaneous,Chat & Messaging
12492,30,Worldwide, MFW , Maximum Fuel Weight ,Transport & Travel,Air Transport
12493,30,United States, MFW , M&F Worldwide Corp. ,Business,NYSE Symbols
12494,20,Mozambique, MFW , Magaruque Airport ,Transport & Travel,Airport Codes
12495,100,Madagascar, MG , Madagascar ,Regional,Countries
12496,90,Worldwide, mg , milligram ,Academic & Science,Units
12497,90,Brazil, MG , Minas Gerais ,Regional,States & Districts
12498,90,Worldwide, Mg , Magnesium ,Academic & Science,Chemistry
12499,80,Worldwide, MG , Myasthenia Gravis ,Medical,Diseases & Conditions
12500,70,Worldwide, MG , Morris Garages ,Business,Companies & Corporations
12501,70,Madagascar, mg , Malagasy ,Regional,Language Codes
12502,60,Worldwide, MG , Machine Gun ,Governmental,Weapons & Forces
12503,50,Worldwide, MG , Major General ,Governmental,Titles
12504,50,Worldwide, MG , Motor-Generator ,Academic & Science,Electrical
12505,50,Madagascar, mg , Madagascar (TLD) ,Computing,Domain Names (TLD)
12506,50,Worldwide, Mg , Megagram ,Academic & Science,Units
12507,40,Australia, MG , Medal for Gallantry ,Governmental,Military
12508,40,Worldwide, MG , Microgrid ,Academic & Science,Electrical
12509,40,Worldwide, MG , Monoglycerides ,Medical,Biochemistry
12510,40,Worldwide, mG , milligauss ,Academic & Science,Units
12511,40,Worldwide, MG , Malachite Green ,Academic & Science,Chemistry
12512,20,United States, MG , Champion Air ,Transport & Travel,Airline Codes
12513,20,Switzerland, MG , Monte Generoso ,Transport & Travel,Rail Transport
12514,20,Worldwide, MG , Match Game ,News & Entertainment,TV & Radio
12515,20,Worldwide, MG , Michaelis–Gutmann ,Medical,Anatomy & Physiology
12516,20,Worldwide, MG , Megagauss ,Academic & Science,Units
12517,20,Worldwide, MG , Medical Genetics ,Medical,Genetics
12518,10,India, MG , Minimum Guarantee ,Governmental,Policies & Programs
12519,60,Worldwide, mg/dL , milligrams per deciliter ,Academic & Science,Units
12520,60,Worldwide, MGC , Mammalian Gene Collection ,Medical,Genetics
12521,40,Worldwide, MGC , Media Gateway Controller ,Technology,Communication
12522,40,Worldwide, MGC , Mekong–Ganga Cooperation ,Associations & Organizations,International Orgaizations
12523,40,Worldwide, MGC , Midwest Gaming Classic ,Associations & Organizations,Conferences & Events
12524,40,United States, MGC , Michigan City Municipal Airport ,Transport & Travel,Airport Codes
12525,30,United Kingdom, MGC , Machine Gun Corps ,Governmental,Military
12526,30,Worldwide, MGC , Male Genital Cutting ,Medical,Treatments & Procedures
12527,30,Australia, MGC , Melbourne Girls’ College ,Academic & Science,Universities & Institutions
12528,30,Japan, MGC , Mitsubishi Gas Chemical ,Business,Companies & Corporations
12529,30,United States, MGC , Mircom Group of Companies ,Business,Companies & Corporations
12530,20,United States, MGC , Middle Georgia College ,Academic & Science,Universities & Institutions
12531,20,United States, MGC , Mississippi Gulf Coast ,Regional,Streams & Waterways
12532,20,India, MGC , Mugat Railway Station ,Transport & Travel,IRCTC Station Codes
12533,40,Worldwide, MGF , Moment-Generating Function ,Academic & Science,Mathematics
12534,30,Madagascar, MGF , Malagasy franc ,Regional,Currencies
12535,30,Worldwide, MGF , Mechano Growth Factor ,Medical,Anatomy & Physiology
12536,30,Worldwide, MGF , Mask Generation Function ,Computing,Security
12537,20,United States, MGF , Mobile Guerrilla Force ,Governmental,Weapons & Forces
12538,20,Australia, MGF , Machine Gun Fellatio ,News & Entertainment,Music
12539,20,Brazil, MGF , Sílvio Name Júnior Regional Airport ,Transport & Travel,Airport Codes
12540,20,India, MGF , Motor & General Finance ,Business,Companies & Corporations
12541,70,Worldwide, Mgmt , Management ,Business,Business Terms
12542,50,United States, MGMT ," shortened version of the band’s original name, The Management ",Arts,Musical groups
12543,40,Worldwide, MGMT ,,Medical,Genetics
12544,20,India, MGNREGA , Mahatma Gandhi National Rural Employment Guarantee Act ,Governmental,Policies & Programs
12545,50,Worldwide, MGR , ManaGeR ,Computing,Software & Applications
12546,40,India, MGR , Maruthur Gopalan Ramachandran ,Society & Culture,Celebrities & Famous
12547,30,Worldwide, MGR , Monthly Gross Revenue ,Business,Business Terms
12548,70,Worldwide, MGS , Metal Gear Solid ,Computing,Games & Entertainment
12549,40,United Kingdom, MGS , Manchester Grammar School ,Academic & Science,Universities & Institutions
12550,30,Singapore, MGS , Methodist Girls School ,Academic & Science,Universities & Institutions
12551,30,Australia, MGS , Melbourne Grammar School ,Academic & Science,Universities & Institutions
12552,20,United States, MGS , Mars Global Surveyor ,Academic & Science,Astronomy & Space Science
12553,10,Cook Islands, MGS , Mangaia Airport ,Transport & Travel,Airport Codes
12554,10,India, MGS , Maharaja Ganga Singh ,Academic & Science,Universities & Institutions
12555,40,India, MGU , Mahatma Gandhi University ,Academic & Science,Universities & Institutions
12556,40,Worldwide, MGU , Most General Unifier ,Computing,General Computing
12557,10,Japan, MGU , Meiji Gakuin University ,Academic & Science,Universities & Institutions
12558,10,Myanmar, MGU , Manaung Airport ,Transport & Travel,Airport Codes
12559,100,Marshall Islands, MH , Marshall Islands ,Regional,Countries
12560,80,Malaysia, MH , Malaysia Airlines Berhad ,Transport & Travel,Airline Codes
12561,60,India, MH , Maharashtra ,Regional,States & Districts
12562,30,India, MH , Mansion House ,Society & Culture,Food & Drink
12563,30,Worldwide, MH , Metal Hydride ,Academic & Science,Chemistry
12564,20,Worldwide, MH , Malignant Hyperthermia ,Medical,Diseases & Conditions
12565,10,Marshall Islands, mh , Marshall Islands (TLD) ,Computing,Domain Names (TLD)
12566,30,India, MH-CET , Maharashtra Common Entrance Test ,Academic & Science,Exams & Tests
12567,60,India, MHADA , Maharashtra Housing and Area Development Authority ,Governmental,Departments & Agencies
12568,40,India, MHBA , Mathabhanga ,Transport & Travel,IRCTC Station Codes
12569,30,United States, MHBA , Maryland Horse Breeders Association ,Associations & Organizations,Regional Organizations
12570,30,Germany, MHBA , Master of Health Business Administration ,Academic & Science,Courses
12571,20,Canada, MHBA , Manitoba Home Builders’ Association ,Associations & Organizations,Trade Associations
12572,20,United States, MHBA , Minnesota Hobby Beekeepers Association ,Associations & Organizations,Regional Organizations
12573,20,United States, MHBA , Mott Hall Bridges Academy ,Academic & Science,Universities & Institutions
12574,10,United States, MHBA , Minnesota Hispanic Bar Association ,Associations & Organizations,Regional Organizations
12575,10,United States, MHBA , Minnesota Home Brewers Association ,Associations & Organizations,Regional Organizations
12576,40,Worldwide, MHL , Mobile High-Definition Link ,Technology,Specifications & Standards
12577,30,United States, MHL , Memorial Hall Library ,Regional,Buildings & Landmarks
12578,20,United States, MHL , Mike’s Hard Lemonade ,Business,Companies & Corporations
12579,20,United Kingdom, MHL , Morgan H Lewis ,Business,Companies & Corporations
12580,20,Japan, MHL , Moshi Moshi Hotline ,Business,Companies & Corporations
12581,20,Worldwide, MHL , Medical Heritage Library ,Computing,Internet
12582,30,India, Mhow , Military Headquarters Of War ,Regional,Towns & Cities
12583,40,India, MHRD , Ministry of Human Resource Development ,Governmental,Departments & Agencies
12584,50,Worldwide, MHRM , Master of Human Resources Management ,Academic & Science,Courses
12585,30,India, MHUPA , Ministry of Housing and Urban Poverty Alleviation ,Governmental,Departments & Agencies
12586,80,Worldwide, MHz , Megahertz ,Academic & Science,Units
12587,30,Worldwide, mHz , millihertz ,Academic & Science,Units
12588,100,Worldwide, mi , Mile ,Academic & Science,Units
12589,90,United States, MI , Michigan ,Regional,Postal Codes
12590,80,Worldwide, Mi , Xiaomi ,Business,Companies & Corporations
12591,80,Worldwide, MI , Myocardial Infarction ,Medical,Diseases & Conditions
12592,80,India, MI , Mumbai Indians ,Sports & Games,Cricket
12593,80,Worldwide, MI , Mission: Impossible ,News & Entertainment,Movies & Film
12594,70,Worldwide, MI , Mortgage Insurance ,Business,Business Terms
12595,70,New Zealand, mi , Maori ,Regional,Language Codes
12596,60,Worldwide, MI , Middle Initial ,Academic & Science,Language & Linguistics
12597,60,Worldwide, MI , Mechanical Index ,Medical,Laboratory
12598,60,Worldwide, MI , Motivational Interviewing ,Medical,Psychology
12599,60,Worldwide, MI , Military Intelligence ,Governmental,Military
12600,50,Worldwide, MI , Mobile Internet ,Computing,Internet
12601,50,Worldwide, MI , 1001 (Roman numeral) ,Academic & Science,Mathematics
12602,50,Worldwide, MI , Mental Illness ,Medical,Psychiatry & Mental Health
12603,50,Worldwide, MI , Mathematical Induction ,Academic & Science,Mathematics
12604,50,Worldwide, Mi , mebi ,Computing,General Computing
12605,50,Worldwide, MI , Melt Flow Index (Melt Index) ,Academic & Science,Chemistry
12606,50,Worldwide, MI , Mineral-Insulated ,Academic & Science,Electrical
12607,50,Worldwide, MI , Mutual Information ,Academic & Science,Mathematics
12608,50,Nigeria, MI , Mr. Incredible (Jude Abaga) ,Society & Culture,Celebrities & Famous
12609,50,Worldwide, MI ," Monsters, Inc. ",News & Entertainment,Movies & Film
12610,50,Slovakia, MI , Michalovce ,Transport & Travel,License Plates
12611,50,Worldwide, MI , Monkey Island ,Computing,Games & Entertainment
12612,40,Worldwide, MI , Multiple Inheritance ,Computing,Programming & Development
12613,40,Worldwide, MI , Methylisothiazolinone ,Academic & Science,Chemistry
12614,40,Canada, MI , Micronutrient Initiative ,Associations & Organizations,Regional Organizations
12615,40,Singapore, MI , Millennia Institute ,Academic & Science,Universities & Institutions
12616,40,Italy, MI , Province of Milan ,Transport & Travel,License Plates
12617,40,Worldwide, MI , Malleable Iron ,Academic & Science,Architecture & Constructions
12618,40,Worldwide, MI , Mobile Infantry ,Miscellaneous,Fictional
12619,40,Hong Kong, Mi , Sammi Cheng ,Society & Culture,Celebrities & Famous
12620,40,Germany, MI , Minden-Lübbecke ,Transport & Travel,License Plates
12621,40,Singapore, MI , SilkAir ,Transport & Travel,Airline Codes
12622,30,United States, MI , Marshall & Ilsley ,Business,Banking
12623,30,United States, MI , Marching Illini ,Arts,Musical groups
12624,30,India, MI , Mood Indigo ,Associations & Organizations,Conferences & Events
12625,30,United States, MI , Musicians Institute ,Academic & Science,Universities & Institutions
12626,30,Japan, MI , Maison Ikkoku ,News & Entertainment,TV & Radio
12627,30,Greece, MI , Phthiotis ,Transport & Travel,License Plates
12628,30,Worldwide, MI , Multi Interface ,Technology,Instruments & Devices
12629,20,Worldwide, MI , Monumental Inscription ,Regional,Buildings & Landmarks
12630,70,United Kingdom, MI6 ," Military Intelligence , Section 6 ",Governmental,Departments & Agencies
12631,80,Worldwide, MIA , Missing In Action ,Governmental,Military
12632,70,United States, MIA , Miami International Airport ,Transport & Travel,Airport Codes
12633,60,Qatar, MIA , Museum of Islamic Art ,Regional,Buildings & Landmarks
12634,60,Malaysia, MIA , Malaysian Institute of Accountants ,Associations & Organizations,Professional Associations
12635,60,United Kingdom, MIA , Manchester Airport ,Transport & Travel,Railway Station Codes
12636,50,Russian Federation, MIA , Ministry of Internal Affairs ,Governmental,Departments & Agencies
12637,40,United States, Mia , Minneapolis Institute of Art ,Regional,Buildings & Landmarks
12638,40,United States, MIA , Marble Institute of America ,Associations & Organizations,Trade Associations
12639,40,United States, MIA , Montgomery Improvement Association ,Associations & Organizations,Regional Organizations
12640,40,Worldwide, MIA , Master of International Affairs ,Academic & Science,Academic Degrees
12641,40,United States, MIA , Medically Indigent Adult ,Medical,Healthcare
12642,40,Australia, MIA , Murrumbidgee Irrigation Area ,Regional,Places
12643,40,India, MIA , Mania ,Transport & Travel,IRCTC Station Codes
12644,30,United States, MIA , Made In America ,Associations & Organizations,Conferences & Events
12645,30,Worldwide, MIA , Marxists Internet Archive ,Computing,Websites
12646,30,Worldwide, MIA , Magnetic ImmunoAssay ,Medical,Tests
12647,30,Macedonia, MIA , Media Information Agency ,News & Entertainment,TV & Radio
12648,20,United States, MIA , Michigan Islamic Academy ,Academic & Science,Universities & Institutions
12649,20,Worldwide, MiA , MicroAlbuminuria ,Medical,Laboratory
12650,50,Worldwide, Mibit , Mebibit ,Academic & Science,Units
12651,100,Worldwide, Mic , Microphone ,Academic & Science,Electronics
12652,30,Worldwide, MIC , More In Comments ,Miscellaneous,Chat & Messaging
12653,10,Malaysia, MIC , Malaysian Indian Congress ,Governmental,Politics
12654,10,Worldwide, MIC , Methyl Isocyanate ,Academic & Science,Chemistry
12655,10,Worldwide, MIC , Minimum Inhibitory Concentration ,Medical,Viruses & Bacteria
12656,100,Worldwide, MICE , Plural form of mouse ,Academic & Science,Language & Linguistics
12657,90,Worldwide, MICE ," Meetings, Incentives, Conventions, and Exhibitions ",Business,Business Terms
12658,30,India, MICE , Manipal Institute of Computer Education ,Academic & Science,Universities & Institutions
12659,80,Worldwide, MICR , Magnetic Ink Character Recognition ,Business,Banking
12660,20,United States, MICR , Minorities in Cancer Research ,Regional,Organizations
12661,20,Worldwide, MICROS , Modular Integrated Cash Register Operating Systems ,Business,Companies & Corporations
12662,20,India, MIDC , Maharashtra Industrial Development Corporation ,Governmental,Departments & Agencies
12663,10,India, MIDC , Meghalaya Industrial Development Corporation ,Governmental,Firms & Organizations
12664,100,Worldwide, MIDI , Musical Instrument Digital Interface ,Computing,Protocols
12665,50,Germany, Miele ," Got its name from founder, Carl Miele ",Business,Companies & Corporations
12666,80,Worldwide, MiG , Mikoyan-Gurevich ,Business,Companies & Corporations
12667,40,Worldwide, MIG , Metal Inert Gas ,Technology,Tech Terms
12668,30,Greece, MIG , Marfin Investment Group ,Business,Companies & Corporations
12669,30,United Kingdom, MIG , Mortgage Indemnity Guarantee ,Business,Business Terms
12670,40,India, MIHAN , Multi-modal International Hub Airport at Nagpur ,Governmental,Policies & Programs
12671,50,Worldwide, MIME , Multipurpose Internet Mail Extensions ,Computing,Protocols
12672,90,Worldwide, MIMO , Multiple Input Multiple Output ,Technology,Communication
12673,10,Germany, MiMo , Mitteldeutsche Motoren Werke ,Business,Companies & Corporations
12674,90,Worldwide, Min , Minute(s) ,Academic & Science,Units
12675,80,Worldwide, Min , Minimum ,Academic & Science,Language & Linguistics
12676,60,Worldwide, min , Minangkabau ,Regional,Language Codes
12677,50,Worldwide, MIN , Mobile Identification Number ,Technology,Communication
12678,50,Worldwide, MIN , Multistage Interconnection Network ,Computing,Networking
12679,50,United States, MIN , Mortgage Identification Number ,Business,Business Terms
12680,40,Worldwide, Min , Minister/Ministry ,Governmental,Politics
12681,40,United States, MIN , Mineola ,Transport & Travel,Railway Station Codes
12682,10,Serbia, MIN , Mašinska industrija Niš ,Business,Companies & Corporations
12683,80,Brazil, MinC , Ministério da Cultura ,Governmental,Departments & Agencies
12684,20,Worldwide, MINC , Multilingual Internet Names Consortium ,Associations & Organizations,Technological Organizations
12685,20,Canada, MINC , Medical Identification Number for Canada ,Medical,Healthcare
12686,70,Canada, MIND , Moving In New Directions ,Academic & Science,Universities & Institutions
12687,20,United Nations, MINURSO , United Nations Mission for the organization of a Referendum in Western Sahara ,Associations & Organizations,Regional Organizations
12688,60,Mali, MINUSMA , Multidimensionnelle Intégrée des Nations Unies pour la Stabilisation au Mali ,Associations & Organizations,United Nations
12689,20,Worldwide, MIP , Macrophage Inflammatory Proteins ,Medical,Biochemistry
12690,50,Worldwide, MIPS , Million Instructions Per Second ,Computing,General Computing
12691,40,Worldwide, MIPS , Material Input Per Service ,Business,Business Terms
12692,20,Worldwide, MIPS , Microprocessor without Interlocked Pipeline Stages ,Computing,General Computing
12693,20,Germany, MIPS , Munich Information Center for Protein Sequences ,Academic & Science,Research & Development
12694,20,Worldwide, MIPS , Multiband Imaging Photometer for Spitzer ,Academic & Science,Astronomy & Space Science
12695,20,United States, MIPS , Maryland Industrial Partnerships Program ,Academic & Science,Universities & Institutions
12696,50,Worldwide, MIR , Music Information Retrieval ,News & Entertainment,Music
12697,40,Tunisia, MIR , Monastir Habib Bourguiba International Airport ,Transport & Travel,Airport Codes
12698,30,Worldwide, MIR , Maximum Information Rate ,Computing,Networking
12699,10,Worldwide, MIR , Micropower Impulse Radar ,Technology,Tech Terms
12700,90,Worldwide, MIS , Management Information System ,Business,Business Terms
12701,50,Worldwide, MIS , Minimally Invasive Surgery ,Medical,Surgery
12702,40,Germany, MIS , Munich International School ,Academic & Science,Universities & Institutions
12703,30,United States, MIS , Madison International Speedway ,Sports & Games,Racing Sports
12704,30,United States, MIS , Mexican Institute of Sound ,News & Entertainment,Music
12705,30,India, MISA , Maintenance of Internal Security Act ,Governmental,Law & Legal
12706,20,South Africa, MISA , Media Institute of Southern Africa ,Associations & Organizations,Non-Profit Organizations
12707,90,United States, MIT , Massachusetts Institute of Technology ,Academic & Science,Universities & Institutions
12708,60,Worldwide, MIT , Metal-Insulator Transition ,Academic & Science,Physics
12709,50,Worldwide, MIT , Made in Taiwan  ,Business,Business Terms
12710,50,Worldwide, MIT , Methylisothiazolinone ,Academic & Science,Chemistry
12711,50,Turkey, MIT , Millî İstihbarat Teşkilatı ,Governmental,Security & Defence
12712,50,Italy, MIT , Ministero delle Infrastrutture e dei Trasporti ,Governmental,Departments & Agencies
12713,50,Indonesia, MIT , Mujahidin Indonesia Timur ,Associations & Organizations,Extremist Groups
12714,50,India, MIT , Madras Institute of Technology ,Academic & Science,Universities & Institutions
12715,50,India, MIT , Maharashtra Institute of Technology ,Academic & Science,Universities & Institutions
12716,50,India, MIT , Manipal Institute of Technology ,Academic & Science,Universities & Institutions
12717,50,Australia, MIT , Melbourne Institute of Technology ,Academic & Science,Universities & Institutions
12718,50,India, MIT , Muzaffarpur Institute of Technology ,Academic & Science,Universities & Institutions
12719,40,Myanmar, MIT , Myanmar Institute of Theology ,Academic & Science,Universities & Institutions
12720,40,Panama, MIT , Manzanillo International Terminal ,Transport & Travel,Water Transport
12721,40,Worldwide, MIT , Market If Touched ,Business,Finance
12722,40,Worldwide, MIT , Melodic Intonation Therapy ,Medical,Treatments & Procedures
12723,40,Philippines, MIT , Mapúa Institute of Technology ,Academic & Science,Universities & Institutions
12724,40,Kenya, MIT , Machakos Institute of Technology ,Academic & Science,Universities & Institutions
12725,40,India, MIT , Maharaja Institute of Technology ,Academic & Science,Universities & Institutions
12726,40,India, MIT , Maharaja Institute of Technology ,Academic & Science,Universities & Institutions
12727,40,New Zealand, MIT , Manukau Institute of Technology ,Academic & Science,Universities & Institutions
12728,40,India, MIT , Marathwada Institute of Technology ,Academic & Science,Universities & Institutions
12729,40,Philippines, MIT , Misamis Institute of Technology ,Academic & Science,Universities & Institutions
12730,20,Worldwide, MIT , Murder Investigation Team ,News & Entertainment,TV & Radio
12731,20,Worldwide, MIT , Multiple Impact Therapy ,Medical,Psychology
12732,10,Japan, MIT , Iwate Menkoi Television ,News & Entertainment,TV & Radio
12733,10,Myanmar, MIT , Mandalay Institute of Technology ,Academic & Science,Universities & Institutions
12734,50,Worldwide, MITC , Most Important Terms and Conditions ,Business,Banking
12735,40,Philippines, MITC , Mapúa Information Technology Center ,Academic & Science,Universities & Institutions
12736,30,Malaysia, MITC , Melaka International Trade Centre ,Regional,Buildings & Landmarks
12737,30,Worldwide, MITC , Methyl isothiocyanate ,Academic & Science,Chemistry
12738,20,United States, MITC , Matson & Isom Technology Consulting ,Business,Companies & Corporations
12739,10,Australia, MITC , Media Industry Technologist Certification ,Academic & Science,Courses
12740,40,United States, MITS , Micro Instrumentation and Telemetry Systems ,Business,Companies & Corporations
12741,20,Worldwide, MITS , Maritime Information Technology Standard ,Technology,Specifications & Standards
12742,20,Worldwide, MITS , Multifamily Information and Transactions Standards ,Technology,Specifications & Standards
12743,10,Worldwide, MITs , Mobile Intelligent Terminals ,Technology,Communication
12744,10,United States, MITS , Muncie Indiana Transit System ,Transport & Travel,Land Transport
12745,10,United States, MITS , Michigan Information Transfer Source ,Academic & Science,Universities & Institutions
12746,10,India, MITS , Monarch InfoTech Services ,Business,Companies & Corporations
12747,100,Worldwide, Mitsubishi , combination of the words “mitsu” and “hishi” ,Business,Companies & Corporations
12748,40,Worldwide, MIUI , Mi User Interface ,Computing,Software & Applications
12749,30,India, MJMC , Master of Journalism & Mass Communication ,Academic & Science,Academic Degrees
12750,20,United States, MJMC , Mount Joy Mennonite Church ,Society & Culture,Religion & Spirituality
12751,10,Canada, MJMC , Moose Jaw Multicultural Council ,Associations & Organizations,Regional Organizations
12752,10,India, MJPRU , Mahatma Jyotiba Phule Rohilkhand University ,Academic & Science,Universities & Institutions
12753,100,Macedonia, MK , Macedonia ,Regional,Countries
12754,70,United States, MK , Michael Kors ,Society & Culture,Celebrities & Famous
12755,60,Worldwide, MK , Mortal Kombat ,Computing,Games & Entertainment
12756,60,Worldwide, MK , Multy Kontact ,Business,Companies & Corporations
12757,50,United Kingdom, MK , Milton Keynes ,Regional,Towns & Cities
12758,40,Macedonia, mk , Macedonia (TLD) ,Computing,Domain Names (TLD)
12759,40,United States, MK , Magic Kingdom ,Regional,Buildings & Landmarks
12760,40,United States, MK , Machinery Technician ,Governmental,Titles
12761,40,Mauritius, MK , Air Mauritius ,Transport & Travel,Airline Codes
12762,30,United States, MK , Marc Kinchen ,Society & Culture,Celebrities & Famous
12763,30,United Kingdom, MK , Mebyon Kernow ,Governmental,Politics
12764,30,India, MK , Miranpur Katra Railway Station ,Transport & Travel,Rail Transport
12765,20,Hong Kong, MK , Mong Kok ,Regional,States & Districts
12766,20,United Kingdom, MK , Martin Keenan ,Business,Companies & Corporations
12767,20,India, MK , Mysore Kirloskar ,Business,Companies & Corporations
12768,20,South Africa, MK , Musiek Kanaal ,News & Entertainment,Music
12769,20,Worldwide, MK , Mario Kart ,Computing,Games & Entertainment
12770,20,Worldwide, MK , Meta Knight ,Miscellaneous,Fictional
12771,20,India, MK , Muthuvel Karunanidhi ,Society & Culture,Celebrities & Famous
12772,30,Worldwide, MKBHD , Marques Keith Brownlee High Definition ,Computing,Internet
12773,20,India, MKCL , Maharashtra Knowledge Corporation Limited ,Governmental,Firms & Organizations
12774,30,Worldwide, Mktd , Marketed ,Business,Marketing
12775,90,Worldwide, MKV , Matroska Video ,Computing,File Extensions
12776,40,Austria, MKV , Mittelschüler-Kartellverband ,Associations & Organizations,Regional Organizations
12777,100,Worldwide, ml , Milliliter ,Academic & Science,Units
12778,90,Mali, ML , Mali ,Regional,Countries
12779,60,Worldwide, ML , Markup Language ,Computing,Internet
12780,50,India, ml , Malayalam ,Regional,Language Codes
12781,40,Worldwide, ML , Maternity Leave ,Business,Business Terms
12782,40,Mali, ml , Mali (TLD) ,Computing,Domain Names (TLD)
12783,40,Worldwide, ML , MidLine ,Medical,Laboratory
12784,40,Worldwide, ML , Monolayer ,Academic & Science,Chemistry
12785,20,India, ML , Malhour Railway Station ,Transport & Travel,IRCTC Station Codes
12786,20,Worldwide, ML , Machine Language ,Computing,Programming Languages
12787,20,Worldwide, ML , MultiLevel Recording ,Computing,Data Storage 
12788,100,United States, MLA , Modern Language Association ,Associations & Organizations,Professional Associations
12789,70,India, MLA , Member of Legislative Assembly ,Governmental,Titles
12790,60,Worldwide, MLA , Medical Library Association ,Associations & Organizations,Non-Profit Organizations
12791,50,Worldwide, MLA , Medical Laboratory Assistant ,Medical,Laboratory
12792,40,Worldwide, MLA , Mandated Lead Arranger ,Business,Finance
12793,40,Malta, MLA , Malta International Airport ,Transport & Travel,Airport Codes
12794,40,Australia, MLA , Meat & Livestock Australia ,Associations & Organizations,Regional Organizations
12795,30,Netherlands, MLA , Montessori Lyceum Amsterdam ,Academic & Science,Universities & Institutions
12796,20,Worldwide, MLA , Mercury Laser Altimeter ,Academic & Science,Astronomy & Space Science
12797,30,India, MLAsia , Media Lab Asia ,Academic & Science,Research & Development
12798,90,Worldwide, MLB , Major League Baseball ,Sports & Games,Basketball
12799,40,Worldwide, MLB , Motor Life Boat ,Transport & Travel,Water Transport
12800,40,Worldwide, MLB , Middle LineBacker ,Sports & Games,Football
12801,40,United States, MLB , Orlando Melbourne International Airport ,Transport & Travel,Airport Codes
12802,40,Worldwide, MLB , Main Logic Board ,Academic & Science,Electronics
12803,30,Worldwide, MLB , Miłosz Biedrzycki ,Society & Culture,Celebrities & Famous
12804,30,Worldwide, MLB , Modularer LängsBaukasten ,Technology,Automotive
12805,30,Worldwide, MLB , Multi-Layer Board ,Academic & Science,Electronics
12806,70,Worldwide, MLC , Multi-Level Cell ,Computing,Data Storage 
12807,60,Congo-Kinshasa, MLC , Mouvement de Libération du Congo ,Governmental,Politics
12808,60,Worldwide, MLC , MultiLeaf Collimator ,Medical,Instruments & Equipment
12809,60,Worldwide, MLC , Myosin Light Chain ,Medical,Biochemistry
12810,50,Worldwide, MLC , Maritime Labour Convention ,Governmental,Policies & Programs
12811,50,India, MLC , Member of Legislative Council ,Governmental,Politics
12812,40,United States, MLC , Major League Cricket ,Sports & Games,Cricket
12813,40,United Kingdom, MLC , Meat and Livestock Commission ,Associations & Organizations,Regional Organizations
12814,40,United States, MLC , Motors Liquidation Company ,Business,Companies & Corporations
12815,40,Australia, MLC , Methodist Ladies’ College ,Academic & Science,Universities & Institutions
12816,40,United States, MLC , Martin Luther College ,Academic & Science,Universities & Institutions
